1  2  3  4  5  6
 1  2  3  7  8  9
 1  2  3  7 10 11
 1  2  3 12 13 14
 1  2  4  5 10 11
 1  4  6  7 12 13
 1  4  6  8 10 14
 1  4  9 10 12 13
 1  5  7  9 11 14
 1  5  8 11 12 13
 1  6 15 16 17 18
 1  6 19 20 21 22
 1 13 23 24 25 26
 2  4  5  9 12 14
 2  4  5  7  8 13
 2  6  7  8  9 12
 2  6  7 11 12 14
 2  6  9 10 11 13
 2  8 10 11 12 14
 3  4  5  6  9 14
 3  4  7  9 10 13
 3  4  8  9 11 12
 3  5  6  8 11 13
 3  5  6  7 10 12
 3  7  8 10 11 14
 4  6  7 11 13 14
 5  8  9 10 13 14
15 16 19 20 23 24
15 16 21 22 25 26
15 17 19 21 23 25
15 17 20 22 24 26
15 18 19 22 23 26
15 18 20 21 24 25
16 17 19 22 24 25
16 17 20 21 23 26
16 18 19 21 24 26
16 18 20 22 23 25
17 18 19 20 25 26
17 18 21 22 23 24
